Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Illegal weapons possession,Drug law violations,Liquor law violations
2017,110583,California State University-Long Beach,1,Main Campus,37622,7,3,0
2017,110608,California State University-Northridge,1,California State University- Northridge,41319,5,5,2
2017,110662,University of California-Los Angeles,1,UCLA,44027,8,33,5
2017,110680,University of California-San Diego,1,Main Campus,35772,9,23,4
2016,110583,California State University-Long Beach,1,Main Campus,37776,2,5,9
2016,110608,California State University-Northridge,1,California State University- Northridge,39916,1,30,1
2016,110662,University of California-Los Angeles,1,UCLA,43548,2,12,7
2016,110680,University of California-San Diego,1,Main Campus,34979,1,25,52
2015,110583,California State University-Long Beach,1,Main Campus,37446,7,10,1
2015,110608,California State University-Northridge,1,California State University- Northridge,41548,1,27,3
2015,110662,University of California-Los Angeles,1,UCLA,41908,5,19,11
2015,110680,University of California-San Diego,1,Main Campus,32906,8,31,68
2014,110583,California State University-Long Beach,1,Main Campus,36809,1,14,4
2014,110608,California State University-Northridge,1,California State University- Northridge,40131,0,23,4
2014,110662,University of California-Los Angeles,1,UCLA,41845,0,16,8
2014,110680,University of California-San Diego,1,Main Campus,30709,8,47,248
2013,110583,California State University-Long Beach,1,Main Campus,35586,2,7,1
2013,110608,California State University-Northridge,1,California State University- Northridge,38310,2,11,2
2013,110662,University of California-Los Angeles,1,UCLA,40795,0,14,5
2013,110680,University of California-San Diego,1,Main Campus,29517,6,41,69
