Survey year,Unitid,Institution name,Campus ID,Campus Name,Institution Size,Illegal weapons possession,Drug law violations,Liquor law violations
2017,110583,California State University-Long Beach,1,Main Campus,37622,0,0,0
2017,110608,California State University-Northridge,1,California State University- Northridge,41319,0,0,0
2017,110662,University of California-Los Angeles,1,UCLA,44027,0,0,8
2017,110680,University of California-San Diego,1,Main Campus,35772,0,0,0
2016,110583,California State University-Long Beach,1,Main Campus,37776,0,0,0
2016,110608,California State University-Northridge,1,California State University- Northridge,39916,0,0,0
2016,110662,University of California-Los Angeles,1,UCLA,43548,0,0,0
2016,110680,University of California-San Diego,1,Main Campus,34979,0,0,4
2015,110583,California State University-Long Beach,1,Main Campus,37446,0,0,0
2015,110608,California State University-Northridge,1,California State University- Northridge,41548,0,0,0
2015,110662,University of California-Los Angeles,1,UCLA,41908,0,0,0
2015,110680,University of California-San Diego,1,Main Campus,32906,0,0,0
2014,110583,California State University-Long Beach,1,Main Campus,36809,0,0,0
2014,110608,California State University-Northridge,1,California State University- Northridge,40131,0,0,0
2014,110662,University of California-Los Angeles,1,UCLA,41845,0,0,0
2014,110680,University of California-San Diego,1,Main Campus,30709,0,0,0
2013,110583,California State University-Long Beach,1,Main Campus,35586,0,0,0
2013,110608,California State University-Northridge,1,California State University- Northridge,38310,0,0,0
2013,110662,University of California-Los Angeles,1,UCLA,40795,0,0,0
2013,110680,University of California-San Diego,1,Main Campus,29517,0,0,0
2017,110583,California State University-Long Beach,1,Main Campus,37622,0,3,0
2017,110608,California State University-Northridge,1,California State University- Northridge,41319,0,0,0
2017,110662,University of California-Los Angeles,1,UCLA,44027,3,12,14
2017,110680,University of California-San Diego,1,Main Campus,35772,0,2,1
2016,110583,California State University-Long Beach,1,Main Campus,37776,0,4,0
2016,110608,California State University-Northridge,1,California State University- Northridge,39916,0,0,0
2016,110662,University of California-Los Angeles,1,UCLA,43548,0,6,5
2016,110680,University of California-San Diego,1,Main Campus,34979,0,2,7
2015,110583,California State University-Long Beach,1,Main Campus,37446,0,6,0
2015,110608,California State University-Northridge,1,California State University- Northridge,41548,0,5,0
2015,110662,University of California-Los Angeles,1,UCLA,41908,0,2,1
2015,110680,University of California-San Diego,1,Main Campus,32906,0,5,1
2014,110583,California State University-Long Beach,1,Main Campus,36809,0,0,0
2014,110608,California State University-Northridge,1,California State University- Northridge,40131,1,6,0
2014,110662,University of California-Los Angeles,1,UCLA,41845,2,8,2
2014,110680,University of California-San Diego,1,Main Campus,30709,0,14,27
2013,110583,California State University-Long Beach,1,Main Campus,35586,0,5,0
2013,110608,California State University-Northridge,1,California State University- Northridge,38310,0,4,0
2013,110662,University of California-Los Angeles,1,UCLA,40795,0,11,0
2013,110680,University of California-San Diego,1,Main Campus,29517,0,5,3
2017,110583,California State University-Long Beach,1,Main Campus,37622,0,0,0
2017,110608,California State University-Northridge,1,California State University- Northridge,41319,0,0,0
2017,110662,University of California-Los Angeles,1,UCLA,44027,0,0,1
2017,110680,University of California-San Diego,1,Main Campus,35772,0,0,0
2016,110583,California State University-Long Beach,1,Main Campus,37776,0,0,0
2016,110608,California State University-Northridge,1,California State University- Northridge,39916,0,0,0
2016,110662,University of California-Los Angeles,1,UCLA,43548,0,0,0
2016,110680,University of California-San Diego,1,Main Campus,34979,0,2,0
2015,110583,California State University-Long Beach,1,Main Campus,37446,0,0,0
2015,110608,California State University-Northridge,1,California State University- Northridge,41548,1,0,0
2015,110662,University of California-Los Angeles,1,UCLA,41908,0,0,0
2015,110680,University of California-San Diego,1,Main Campus,32906,0,0,0
2014,110583,California State University-Long Beach,1,Main Campus,36809,0,0,0
2014,110608,California State University-Northridge,1,California State University- Northridge,40131,0,0,0
2014,110662,University of California-Los Angeles,1,UCLA,41845,0,0,0
2014,110680,University of California-San Diego,1,Main Campus,30709,0,0,0
2013,110583,California State University-Long Beach,1,Main Campus,35586,0,0,0
2013,110608,California State University-Northridge,1,California State University- Northridge,38310,0,0,0
2013,110662,University of California-Los Angeles,1,UCLA,40795,0,0,0
2013,110680,University of California-San Diego,1,Main Campus,29517,0,3,0
2017,110583,California State University-Long Beach,1,Main Campus,37622,2,61,190
2017,110608,California State University-Northridge,1,California State University- Northridge,41319,2,172,169
2017,110662,University of California-Los Angeles,1,UCLA,44027,1,117,494
2017,110680,University of California-San Diego,1,Main Campus,35772,1,222,833
2016,110583,California State University-Long Beach,1,Main Campus,37776,0,54,138
2016,110608,California State University-Northridge,1,California State University- Northridge,39916,3,260,236
2016,110662,University of California-Los Angeles,1,UCLA,43548,0,53,381
2016,110680,University of California-San Diego,1,Main Campus,34979,1,197,904
2015,110583,California State University-Long Beach,1,Main Campus,37446,0,73,168
2015,110608,California State University-Northridge,1,California State University- Northridge,41548,1,172,250
2015,110662,University of California-Los Angeles,1,UCLA,41908,0,89,406
2015,110680,University of California-San Diego,1,Main Campus,32906,3,294,1348
2014,110583,California State University-Long Beach,1,Main Campus,36809,2,74,151
2014,110608,California State University-Northridge,1,California State University- Northridge,40131,4,175,263
2014,110662,University of California-Los Angeles,1,UCLA,41845,1,87,386
2014,110680,University of California-San Diego,1,Main Campus,30709,7,500,1879
2013,110583,California State University-Long Beach,1,Main Campus,35586,3,65,154
2013,110608,California State University-Northridge,1,California State University- Northridge,38310,0,210,207
2013,110662,University of California-Los Angeles,1,UCLA,40795,1,86,407
2013,110680,University of California-San Diego,1,Main Campus,29517,3,403,1707
2017,110583,California State University-Long Beach,1,Main Campus,37622,7,3,0
2017,110608,California State University-Northridge,1,California State University- Northridge,41319,5,5,2
2017,110662,University of California-Los Angeles,1,UCLA,44027,8,33,5
2017,110680,University of California-San Diego,1,Main Campus,35772,9,23,4
2016,110583,California State University-Long Beach,1,Main Campus,37776,2,5,9
2016,110608,California State University-Northridge,1,California State University- Northridge,39916,1,30,1
2016,110662,University of California-Los Angeles,1,UCLA,43548,2,12,7
2016,110680,University of California-San Diego,1,Main Campus,34979,1,25,52
2015,110583,California State University-Long Beach,1,Main Campus,37446,7,10,1
2015,110608,California State University-Northridge,1,California State University- Northridge,41548,1,27,3
2015,110662,University of California-Los Angeles,1,UCLA,41908,5,19,11
2015,110680,University of California-San Diego,1,Main Campus,32906,8,31,68
2014,110583,California State University-Long Beach,1,Main Campus,36809,1,14,4
2014,110608,California State University-Northridge,1,California State University- Northridge,40131,0,23,4
2014,110662,University of California-Los Angeles,1,UCLA,41845,0,16,8
2014,110680,University of California-San Diego,1,Main Campus,30709,8,47,248
2013,110583,California State University-Long Beach,1,Main Campus,35586,2,7,1
2013,110608,California State University-Northridge,1,California State University- Northridge,38310,2,11,2
2013,110662,University of California-Los Angeles,1,UCLA,40795,0,14,5
2013,110680,University of California-San Diego,1,Main Campus,29517,6,41,69
2017,110583,California State University-Long Beach,1,Main Campus,37622,1,1,0
2017,110608,California State University-Northridge,1,California State University- Northridge,41319,2,0,0
2017,110662,University of California-Los Angeles,1,UCLA,44027,0,2,0
2017,110680,University of California-San Diego,1,Main Campus,35772,0,0,0
2016,110583,California State University-Long Beach,1,Main Campus,37776,1,3,0
2016,110608,California State University-Northridge,1,California State University- Northridge,39916,0,8,0
2016,110662,University of California-Los Angeles,1,UCLA,43548,0,2,3
2016,110680,University of California-San Diego,1,Main Campus,34979,0,2,23
2015,110583,California State University-Long Beach,1,Main Campus,37446,2,1,0
2015,110608,California State University-Northridge,1,California State University- Northridge,41548,0,8,0
2015,110662,University of California-Los Angeles,1,UCLA,41908,1,1,2
2015,110680,University of California-San Diego,1,Main Campus,32906,2,0,14
2014,110583,California State University-Long Beach,1,Main Campus,36809,0,2,0
2014,110608,California State University-Northridge,1,California State University- Northridge,40131,0,4,0
